,departamento,Departamento de Matemáticas,,,,,,,,,
,campus,Campus Hermosillo. Universidad de Sonora,,,,,,,,,
,titulo,CRITERIOS DE EVALUACIÓN CURRICULAR PARA EL INGRESO DE PERSONAL ACADÉMICO DE ASIGNATURA,,,,,,,,,
,area,Área de trabajo o asignatura:,,,,,,,,,
,nombre,Nombre del Concursante:,,,,,,,,,
,I.,GRADO ACADÉMICO (max. 200 puntos),,,,,,,,,
 ,,,,Puntaje Unitario,,Unidades,,PuntajeTotal,,,
,,,,,,En matemáticas ,En área afín,,,,
,,,,A,B,A,B,,,,
,I.A.,Licenciatura ,,30,0,,,0,,,
,I.B,Especialización (como posgrado),,45,15,,,0,,,
,I.C,Maestría,,100,35,,,0,,,
,I.D,Doctorado,,200,70,,,0,,,
,,SUBTOTAL,,,,,,0,,,
,,,,,,,,,,,
,II.,EXPERIENCIA ACADÉMICA Y PROFESIONAL (max. 150 puntos),,,,,,,,,
,,,Puntaje Unitario,,,Unidades,,,Puntaje Total,,
,,,,,,En el área de Concurso,Sólo en otras áreas de matemáticas ,Sólo en otras  áreas afines,,,
,,,,,,,,,A,B,C
,,,A,B,C,A,B,C,A,B,C
,II.A.,"Semestre de docencia, investigación o extensión",,,,,,,,,
,,En instituciones de nivel medio superior ,2.5,1.25,0.625,,,,0,0,0
,,En instituciones de nivel superior ,5,2.5,1.25,,,,0,0,0
,II.B.,Seis meses de trabajo profesional,2.5,1.25,0.625,,,,0,0,0
,,Sumas Parciales ,,,,,,,0,0,0
,,"Puntajes máximos por columna:  37.5 puntos para columna C, 75 puntos para la suma de B y C",,37.5,37.5,,,,0,0,0
,,SUBTOTAL,,,,,,,0,,
,,,,,,,,,,,
,III.,ANTIGÜEDAD ACADÉMICA EN LA UNIVERSIDAD DE SONORA (max. 50 puntos),,,,,,,,,
,,,Puntaje Unitario,,Unidades,,,,Puntaje Total,,
,,,,,En el Departamento de Matemáticas,,Sólo en otros Departamentos de la FICEN o la FI,,,,
,,,A,B,A,,B,,,,
,,"Semestre de docencia, investigación o extensión",2,1,,,,,0,,
,,SUBTOTAL,,,,,,,0,,
,,,,,,,,,,,
,IV.,OTRAS ACTIVIDADES DE FORMACIÓN ACADÉMICA (max. 60 puntos),,,,,,,,,
,,,Puntaje Unitario,,,Unidades,,,Puntaje Total,,
,,,,,,En el área de Concurso,En otras áreas de matemáticas ,En otras áreas afínes,,,
,,,A,B,C,A,B,C,A,B,C
,,"Diplomado, curso o taller de actualización didáctica o disciplinaria recibido. (Puntos por hora)",0.05,0.025,0.0125,,,,0,0,0
,,"Diplomado, cursos y talleres recibidos dentro del Programa Institucional de Desarrollo de Competencias Docentes UNISON. (Puntos por hora)",0.04,0.02,0.01,,,,0,0,0
,,Cursos curriculares semestrales de nivel maestría (grado inconcluso),2,1,0.5,,,,0,0,0
,,Cursos curriculares semestrales de nivel doctorado (grado inconcluso),3,1.5,0.75,,,,0,0,0
,,Sumas Parciales ,,,,,,,0,0,0
,,"Puntajes máximos por columna:  15 puntos para columna C, 30 puntos para la suma de B y C",,,,,,,0,0,0
,,SUBTOTAL,,,,,,,0,,
,,,,,,,,,,,
,V.,ACTIVIDADES GENERALES DE PRODUCTIVIDAD DOCENTE (max. 200 puntos),,,,,,,,,
,,,Puntaje Unitario,,,Unidades,,,Puntaje Total,,
,,,,,,En el área de Concurso,En otras áreas de matemáticas ,En otras áreas afínes,,,
,,,A,B,C,A,B,C,A,B,C
,V.A.,Diseño de Planes de Estudio en sus diversos grados y modalidades.,,,,,,,,,
,,Coordinador de la comisión responsable ,4,2,1,,,,0,0,0
,,Miembro de la comisión responsable. ,3,1.5,0.75,,,,0,0,0
,,Participante en actividades específicas.,1,0.5,0.25,,,,0,0,0
,V.B.,Proyecto de Docencia ,1,0.5,0.25,,,,0,,
,,Responsable,2,1,0.5,,,,0,0,0
,,Colaborador,1.5,0.75,0.375,,,,0,0,0
,V.C.,"Elaboración de manuales, notas o material didáctico para un curso curricular completo",,,,,,,,,
,,Responsable,1,0.5,0.25,,,,0,0,0
,,Colaborador,0.5,0.25,0.125,,,,0,0,0
,V.D.,Elaboración de exámenes departamentales,,,,,,,,,
,,Responsable,2,1,0.5,,,,0,0,0
,,Colaborador,1,0.5,0.25,,,,0,0,0
,V.E.,Autor o coautor de libro ,,,,,,,,,
,,De circulación regional o local,7,3.5,1.75,,,,0,0,0
,,De circulación nacional,15,7.5,3.75,,,,0,0,0
,,De circulación internacional,20,10,5,,,,0,0,0
,V.F.,Autor o coautor de capítulo de libro ,1,0.5,0.25,,,,0,,
,,De circulación regional o local,1,0.5,0.25,,,,0,0,0
,,De circulación nacional,2,1,0.5,,,,0,0,0
,,De circulación internacional,4,2,1,,,,0,0,0
,V.G.,Traducción avalada institucionalmente,1,0.5,0.25,,,,0,,
,,De capítulo de libro,1,0.5,0.25,,,,0,0,0
,,De libro,3,1.5,0.75,,,,0,0,0
,V.H.,Impartición de cursos de actualización disciplinar o didáctica ,0.1,0.05,0.025,,,,0,,
